date,campaign_id,case_id,operation,classification,threat_family,severity,status,campaign_phase,platform,device,vendor,zone,confidence,risk_score,affected_assets,evidence_count,ioc_count,initial_access,lead_analyst,priority
2026-07-30,BDC-2026-001,BID-2026-1003,Operation Black Eclipse,Biomedical Network Exposure,Synthetic Genome Data Theft,LOW,Open,Operational Recovery,Genome Sequencing Environment,Specimen Tracking Server,VMware,Biosecurity Segment,82,32,6,40,11,Credential Abuse,Analyst Team Delta,ROUTINE
2026-07-30,BDC-2026-001,BID-2026-1532,Operation Black Eclipse,Research Facility Intrusion,Laboratory Credential Abuse,HIGH,Open,Operational Recovery,Biosecurity Operations Center,Laboratory Controller,Fortinet,Federal Operations,91,81,14,193,77,Unknown,Analyst Team Delta,HIGH
2026-07-30,BDC-2026-001,BID-2026-5457,Operation Black Eclipse,Biological Research Intelligence Collection,Synthetic Genome Data Theft,HIGH,Containment,Operational Recovery,Research Network,Access Control System,Fortinet,Evidence Network,93,71,15,160,46,Credential Abuse,Analyst Team Alpha,HIGH
2026-07-30,BDC-2026-001,BID-2026-8488,Operation Black Eclipse,Research Facility Intrusion,Biomedical Infrastructure Reconnaissance,MODERATE,Containment,Operational Recovery,Clinical Research Environment,Digital Evidence Appliance,Fortinet,Federal Operations,86,64,15,78,19,Supply Chain Compromise,Analyst Team Alpha,ELEVATED
2026-07-30,BDC-2026-001,BID-2026-1479,Operation Black Eclipse,Cyber-Biothreat Intelligence Review,Laboratory Credential Abuse,CRITICAL,Containment,Operational Recovery,Biosecurity Operations Center,Biomedical Workstation,Fortinet,Federal Operations,90,97,25,330,152,Phishing,Analyst Team Bravo,CRITICAL
2026-07-31,BDC-2026-001,BID-2026-7077,Operation Black Eclipse,Biological Research Intelligence Collection,Laboratory Credential Abuse,LOW,Field Coordination,Operational Recovery,Federal Investigation Network,Genome Sequencing Server,Fortinet,Biosecurity Segment,88,38,6,41,3,Unauthorized Remote Access,National Response Cell,ROUTINE
2026-07-31,BDC-2026-001,BID-2026-5363,Operation Black Eclipse,Laboratory Security Breach,Biocontainment System Tampering,HIGH,Intelligence Analysis,Operational Recovery,Genome Sequencing Environment,Evidence Repository,Red Hat,Federal Operations,88,72,31,175,41,Unknown,Joint Cyber Investigation Unit,HIGH
2026-08-01,BDC-2026-001,BID-2026-9408,Operation Black Eclipse,Counter-Bioterror Intelligence Case,Biocontainment System Tampering,CRITICAL,Monitoring,Operational Recovery,Federal Investigation Network,Research Database,Red Hat,Research Operations,96,92,47,348,121,Credential Abuse,Analyst Team Bravo,CRITICAL
2026-08-01,BDC-2026-001,BID-2026-8561,Operation Black Eclipse,Unauthorized Research System Access,Insider Laboratory Compromise,MODERATE,Open,Operational Recovery,Laboratory Control Network,Biomedical Workstation,VMware,Containment Network,85,55,6,52,22,Unknown,Analyst Team Bravo,ELEVATED
2026-08-01,BDC-2026-001,BID-2026-6443,Operation Black Eclipse,Biological Research Intelligence Collection,Specimen Tracking Manipulation,HIGH,Evidence Collection,Operational Recovery,Evidence Processing Network,Biomedical Workstation,Microsoft,Containment Network,96,87,27,218,45,Phishing,Analyst Team Bravo,HIGH
2026-08-01,BDC-2026-001,BID-2026-4819,Operation Black Eclipse,Laboratory Security Breach,Insider Laboratory Compromise,HIGH,Intelligence Analysis,Operational Recovery,Clinical Research Environment,Laboratory Controller,VMware,Federal Operations,89,70,28,197,76,Credential Abuse,National Response Cell,HIGH
2026-08-01,BDC-2026-001,BID-2026-1115,Operation Black Eclipse,Biosecurity Infrastructure Investigation,Specimen Tracking Manipulation,HIGH,Monitoring,Operational Recovery,Federal Investigation Network,Genome Sequencing Server,Red Hat,Research Operations,96,75,14,214,37,Phishing,Analyst Team Delta,HIGH
2026-08-02,BDC-2026-001,BID-2026-5702,Operation Black Eclipse,Evidence Reconstruction Investigation,Research Data Integrity Manipulation,MODERATE,Intelligence Analysis,Operational Recovery,Genome Sequencing Environment,Evidence Repository,Cisco,Containment Network,85,65,15,61,13,Supply Chain Compromise,BioDefense Task Force,ELEVATED
2026-08-02,BDC-2026-001,BID-2026-9061,Operation Black Eclipse,Research Facility Intrusion,Biological Data Exfiltration,HIGH,Open,Operational Recovery,Laboratory Control Network,Genome Sequencing Server,Fortinet,Containment Network,88,75,14,212,38,Phishing,Analyst Team Bravo,HIGH
2026-08-02,BDC-2026-001,BID-2026-9879,Coordinated Biomedical Systems Intrusion,Research Data Integrity Investigation,Credential Misuse,LOW,Containment,Operational Recovery,Laboratory Control Network,Biomedical Workstation,Palo Alto Networks,Protected Research Segment,88,25,10,53,6,Exposed Remote Service,Joint Cyber Investigation Unit,ROUTINE
2026-08-02,BDC-2026-001,BID-2026-6104,Coordinated Biomedical Systems Intrusion,Research Data Integrity Investigation,Research Data Integrity Manipulation,LOW,Monitoring,Operational Recovery,Clinical Research Environment,Evidence Repository,Lenovo,Protected Research Segment,85,36,4,14,10,Third-Party Access,Analyst Team Bravo,ROUTINE
2026-08-02,BDC-2026-001,BID-2026-6321,Coordinated Biomedical Systems Intrusion,Supply Chain Security Investigation,Unauthorized Laboratory Network Access,HIGH,Evidence Collection,Operational Recovery,Protected Research Network,Network Security Appliance,HPE,Federal Operations,86,81,31,115,40,Compromised Credentials,BioDefense Task Force,HIGH
2026-08-02,BDC-2026-001,BID-2026-3342,Coordinated Biomedical Systems Intrusion,Biological Research Intelligence Collection,Biomedical Supply Chain Compromise,MODERATE,Field Coordination,Operational Recovery,Evidence Processing Network,Access Control Server,HPE,Protected Research Segment,88,53,17,87,32,Compromised Credentials,Analyst Team Alpha,ELEVATED
2026-08-03,BDC-2026-001,BID-2026-1278,Coordinated Biomedical Systems Intrusion,Protected Research Systems Investigation,Research Workstation Compromise,MODERATE,Field Coordination,Operational Recovery,Medical Research Laboratory,Access Control Server,Dell,Federal Operations,86,46,16,114,22,Supply Chain Compromise,Analyst Team Delta,ELEVATED
2026-08-03,BDC-2026-001,BID-2026-3870,Coordinated Biomedical Systems Intrusion,Laboratory Access Control Investigation,Biocontainment System Tampering,LOW,Monitoring,Operational Recovery,Clinical Research Environment,Clinical Data Server,Dell,Research Operations,87,36,5,51,10,Compromised Credentials,Analyst Team Alpha,ROUTINE
2026-08-03,BDC-2026-001,BID-2026-2718,Coordinated Biomedical Systems Intrusion,Biomedical Infrastructure Investigation,Biomedical Supply Chain Compromise,MODERATE,Field Coordination,Operational Recovery,Clinical Research Environment,Network Security Appliance,Dell,Evidence Network,86,62,18,92,39,Unauthorized Physical Access,Analyst Team Delta,ELEVATED
2026-08-03,BDC-2026-001,BID-2026-5077,Coordinated Biomedical Systems Intrusion,Biological Research Intelligence Collection,Research Data Integrity Manipulation,MODERATE,Open,Operational Recovery,Research Data Repository,Biomedical Workstation,Palo Alto Networks,Evidence Network,88,58,20,49,14,Web Application Exploitation,Analyst Team Alpha,ELEVATED
2026-08-03,BDC-2026-001,BID-2026-8334,Coordinated Biomedical Systems Intrusion,Unauthorized Research System Access,Medical Device Communications Interference,LOW,Containment,Operational Recovery,Clinical Research Environment,Biomedical Workstation,Red Hat,Research Operations,85,21,7,54,18,Supply Chain Compromise,Analyst Team Delta,ROUTINE
2026-08-03,BDC-2026-001,BID-2026-4246,Coordinated Biomedical Systems Intrusion,Biomedical Infrastructure Investigation,Clinical Research Data Manipulation,CRITICAL,Open,Operational Recovery,Protected Research Network,Laboratory Information Server,Dell,Protected Research Segment,95,96,59,240,90,Third-Party Access,Joint Cyber Investigation Unit,CRITICAL
2026-08-03,BDC-2026-001,BID-2026-6850,Coordinated Biomedical Systems Intrusion,Cyber-Biothreat Intelligence Review,Evidence Repository Manipulation,HIGH,Containment,Operational Recovery,Biomedical Analysis Cluster,Evidence Repository,Lenovo,Secure Laboratory,87,84,40,97,53,Unauthorized Physical Access,BioDefense Task Force,HIGH
2026-08-03,BDC-2026-001,BID-2026-3408,Coordinated Biomedical Systems Intrusion,Medical Device Security Assessment,Laboratory Information System Compromise,LOW,Field Coordination,Operational Recovery,Biomedical Analysis Cluster,Evidence Repository,Microsoft,Containment Network,83,30,10,54,15,Supply Chain Compromise,Joint Cyber Investigation Unit,ROUTINE
2026-08-03,BDC-2026-001,BID-2026-7106,Coordinated Biomedical Systems Intrusion,Medical Device Security Assessment,Access Control Record Manipulation,HIGH,Evidence Collection,Operational Recovery,Protected Research Network,Research Database Server,HPE,Federal Operations,86,66,16,140,44,Insider Misuse,National Response Cell,HIGH
2026-08-03,BDC-2026-001,BID-2026-7175,Coordinated Biomedical Systems Intrusion,Research Data Integrity Investigation,Biocontainment System Tampering,MODERATE,Open,Operational Recovery,Laboratory Control Network,Genome Analysis Workstation,Red Hat,Biosecurity Segment,91,46,15,41,24,Exposed Remote Service,National Response Cell,ELEVATED
2026-08-03,BDC-2026-001,BID-2026-6091,Coordinated Biomedical Systems Intrusion,Protected Research Systems Investigation,Evidence Repository Manipulation,MODERATE,Containment,Operational Recovery,Genome Sequencing Environment,Access Control Server,Fortinet,Secure Laboratory,85,48,14,84,35,Insider Misuse,National Response Cell,ELEVATED
2026-08-03,BDC-2026-001,BID-2026-9937,Coordinated Biomedical Systems Intrusion,Protected Research Systems Investigation,Laboratory Information System Compromise,LOW,Open,Operational Recovery,Evidence Processing Network,Network Security Appliance,VMware,Containment Network,84,28,10,17,10,Exposed Remote Service,Analyst Team Bravo,ROUTINE
2026-08-03,BDC-2026-001,BID-2026-3583,Coordinated Biomedical Systems Intrusion,Biological Research Intelligence Collection,Biocontainment System Tampering,HIGH,Intelligence Analysis,Operational Recovery,Research Data Repository,Clinical Data Server,VMware,Biosecurity Segment,90,68,27,136,29,Compromised Credentials,National Response Cell,HIGH
2026-08-03,BDC-2026-001,BID-2026-5190,Coordinated Biomedical Systems Intrusion,Cyber-Biothreat Intelligence Review,Medical Device Communications Interference,LOW,Containment,Operational Recovery,Research Data Repository,Genome Analysis Workstation,Microsoft,Federal Operations,90,26,5,12,17,Exposed Remote Service,Analyst Team Bravo,ROUTINE
2026-08-04,BDC-2026-001,BID-2026-7918,Coordinated Biomedical Systems Intrusion,Protected Research Systems Investigation,Laboratory Information System Compromise,HIGH,Intelligence Analysis,Operational Recovery,Medical Research Laboratory,Network Security Appliance,Palo Alto Networks,Research Operations,96,79,18,224,98,Web Application Exploitation,Analyst Team Delta,HIGH
2026-08-04,BDC-2026-001,BID-2026-9934,Coordinated Biomedical Systems Intrusion,Supply Chain Security Investigation,Medical Device Communications Interference,HIGH,Field Coordination,Operational Recovery,Laboratory Control Network,Clinical Data Server,Palo Alto Networks,Containment Network,98,70,16,145,29,Insider Misuse,BioDefense Task Force,HIGH
2026-08-04,BDC-2026-001,BID-2026-5598,Coordinated Biomedical Systems Intrusion,Specimen Management Security Review,Protected Research Data Exfiltration,HIGH,Evidence Collection,Operational Recovery,Biosecurity Operations Center,Biomedical Workstation,Dell,Containment Network,94,69,40,160,94,Insider Misuse,Analyst Team Bravo,HIGH
2026-08-04,BDC-2026-001,BID-2026-6149,Coordinated Biomedical Systems Intrusion,Supply Chain Security Investigation,Research Data Integrity Manipulation,LOW,Evidence Collection,Operational Recovery,Laboratory Control Network,Access Control Server,HPE,Federal Operations,88,27,7,49,4,Insider Misuse,BioDefense Task Force,ROUTINE
2026-08-04,BDC-2026-001,BID-2026-5008,Coordinated Biomedical Systems Intrusion,Unauthorized Research System Access,Medical Device Communications Interference,MODERATE,Field Coordination,Operational Recovery,Biosecurity Operations Center,Evidence Repository,Red Hat,Biosecurity Segment,95,55,14,97,25,Compromised Credentials,Analyst Team Delta,ELEVATED
2026-08-04,BDC-2026-001,BID-2026-6459,Coordinated Biomedical Systems Intrusion,Supply Chain Security Investigation,Specimen Tracking Manipulation,HIGH,Evidence Collection,Operational Recovery,Genome Sequencing Environment,Genome Analysis Workstation,Dell,Secure Laboratory,96,74,14,118,52,Insider Misuse,Analyst Team Alpha,HIGH
2026-08-04,BDC-2026-001,BID-2026-8932,Coordinated Biomedical Systems Intrusion,Specimen Management Security Review,Biomedical Supply Chain Compromise,MODERATE,Monitoring,Operational Recovery,Evidence Processing Network,Genome Analysis Workstation,Palo Alto Networks,Federal Operations,82,56,7,35,16,Compromised Credentials,Analyst Team Alpha,ELEVATED
